ir,red,heart_rate,gsr,spo2,temp,cortisol
45804.0,51547.0,73.0,416.0,99.0,32.0,25.0
48454.0,48097.0,58.0,85.0,99.0,32.0,25.0
51656.0,47307.0,80.0,882.0,99.0,33.0,5.0
54878.0,45881.0,61.0,313.0,93.0,32.0,25.0
47604.0,46474.0,76.0,817.0,98.0,33.0,5.0
49072.0,53235.0,77.0,508.0,96.0,32.0,25.0
44468.0,46324.0,84.0,613.0,96.0,32.0,5.0
44019.0,41295.0,93.0,402.0,98.0,32.0,25.0
54063.0,51718.0,61.0,542.0,94.0,32.0,15.87
56781.0,46976.0,74.0,630.0,93.0,32.0,5.29
49640.0,48157.0,72.0,633.0,98.0,33.0,5.15
55018.0,56038.0,79.0,655.0,98.0,32.0,6.74
51808.0,47897.0,77.0,426.0,97.0,32.0,25.0
46774.0,49446.0,71.0,404.0,95.0,33.0,25.0
51807.0,42105.0,71.0,181.0,98.0,33.0,25.0
57690.0,46902.0,64.0,605.0,98.0,32.0,6.43
49821.0,51048.0,85.0,716.0,97.0,33.0,5.0
57823.0,40223.0,80.0,823.0,95.0,32.0,5.0
36901.0,49004.0,84.0,561.0,96.0,32.0,11.56
54110.0,48504.0,72.0,347.0,99.0,33.0,25.0
50435.0,48206.0,68.0,161.0,100.0,32.0,25.0
48505.0,53186.0,64.0,708.0,96.0,33.0,5.0
50459.0,49672.0,79.0,141.0,97.0,33.0,25.0
40062.0,55390.0,65.0,432.0,97.0,33.0,25.0
48902.0,43032.0,93.0,455.0,98.0,32.0,25.0
51786.0,48680.0,62.0,486.0,96.0,33.0,24.09
57389.0,48422.0,78.0,507.0,91.0,32.0,23.76
47409.0,42654.0,91.0,528.0,99.0,33.0,18.23
45958.0,52781.0,81.0,17.0,101.0,33.0,25.0
47491.0,59623.0,77.0,503.0,96.0,33.0,20.46
54577.0,47915.0,65.0,54.0,95.0,32.0,25.0
51644.0,50525.0,61.0,646.0,97.0,34.0,5.0
47351.0,48423.0,83.0,389.0,97.0,32.0,25.0
52566.0,44432.0,90.0,69.0,99.0,33.0,25.0
50485.0,38896.0,71.0,337.0,97.0,32.0,25.0
54843.0,44471.0,64.0,386.0,95.0,33.0,25.0
46490.0,41040.0,50.0,738.0,94.0,33.0,5.0
48362.0,56521.0,65.0,539.0,99.0,33.0,15.2
48039.0,47424.0,74.0,569.0,98.0,32.0,10.8
42682.0,46270.0,91.0,736.0,99.0,33.0,5.0
51481.0,52446.0,82.0,481.0,95.0,33.0,23.07
51305.0,42391.0,78.0,651.0,101.0,33.0,5.0
50026.0,44166.0,71.0,637.0,94.0,32.0,5.0
48827.0,48340.0,69.0,243.0,98.0,32.0,25.0
42923.0,53144.0,89.0,795.0,93.0,33.0,5.0
47897.0,50508.0,77.0,216.0,95.0,32.0,25.0
48286.0,49242.0,54.0,683.0,100.0,32.0,5.0
45989.0,48391.0,68.0,197.0,99.0,33.0,25.0
49194.0,50001.0,66.0,620.0,96.0,31.0,5.0
52020.0,49008.0,70.0,872.0,96.0,32.0,5.0
59431.0,42850.0,81.0,457.0,97.0,32.0,25.0
50873.0,48230.0,74.0,449.0,98.0,32.0,25.0
51288.0,42632.0,74.0,622.0,100.0,34.0,7.13
49628.0,48405.0,88.0,434.0,96.0,33.0,25.0
40406.0,45597.0,68.0,864.0,94.0,33.0,5.0
49867.0,60697.0,94.0,538.0,97.0,32.0,25.0
50301.0,47801.0,68.0,436.0,96.0,33.0,25.0
62316.0,40979.0,76.0,392.0,94.0,32.0,25.0
49038.0,47329.0,72.0,313.0,98.0,33.0,25.0
51508.0,50597.0,76.0,374.0,97.0,32.0,25.0
49826.0,56367.0,79.0,430.0,98.0,32.0,25.0
44157.0,45053.0,79.0,402.0,95.0,33.0,25.0
55714.0,40088.0,67.0,368.0,98.0,33.0,25.0
53760.0,52084.0,64.0,920.0,94.0,33.0,5.0
53955.0,41097.0,100.0,294.0,95.0,32.0,25.0
45453.0,45819.0,70.0,529.0,97.0,33.0,12.59
57014.0,46712.0,82.0,619.0,100.0,33.0,11.75
42991.0,47652.0,59.0,626.0,99.0,32.0,5.0
52934.0,51446.0,72.0,488.0,99.0,33.0,25.0
60952.0,44582.0,74.0,452.0,100.0,32.0,25.0
45047.0,46631.0,80.0,590.0,104.0,33.0,9.79
47169.0,47929.0,48.0,553.0,97.0,33.0,5.0
50498.0,48748.0,77.0,448.0,100.0,32.0,25.0
47483.0,48489.0,64.0,188.0,99.0,33.0,25.0
42247.0,50180.0,78.0,406.0,99.0,33.0,25.0
50343.0,52219.0,65.0,271.0,101.0,33.0,25.0
44688.0,49963.0,66.0,367.0,96.0,32.0,25.0
52368.0,50268.0,72.0,507.0,96.0,32.0,25.0
45403.0,40089.0,64.0,572.0,98.0,33.0,5.0
57750.0,48251.0,70.0,856.0,97.0,33.0,5.0
46084.0,50398.0,63.0,393.0,98.0,33.0,25.0
48390.0,51645.0,57.0,655.0,100.0,32.0,5.0
54068.0,44538.0,85.0,561.0,96.0,33.0,12.11
43846.0,44705.0,62.0,759.0,96.0,32.0,5.0
51137.0,45129.0,73.0,615.0,97.0,32.0,5.41
56536.0,50682.0,83.0,298.0,97.0,33.0,25.0
41963.0,53169.0,69.0,155.0,93.0,33.0,25.0
50923.0,45963.0,67.0,562.0,96.0,32.0,6.64
51299.0,52540.0,77.0,394.0,98.0,32.0,25.0
53909.0,48617.0,86.0,304.0,100.0,33.0,25.0
43815.0,47379.0,63.0,246.0,95.0,33.0,25.0
43398.0,46943.0,73.0,532.0,95.0,32.0,16.34
52610.0,51733.0,58.0,802.0,97.0,33.0,5.0
51485.0,49628.0,71.0,418.0,93.0,32.0,25.0
51252.0,59379.0,75.0,618.0,96.0,33.0,9.74
51732.0,43739.0,66.0,480.0,94.0,32.0,21.93
46600.0,50591.0,70.0,242.0,100.0,33.0,25.0
51161.0,45354.0,61.0,647.0,95.0,32.0,5.0
51465.0,43654.0,76.0,281.0,100.0,32.0,25.0
46428.0,47946.0,86.0,504.0,99.0,33.0,25.0
59329.0,48687.0,64.0,432.0,96.0,32.0,25.0
52369.0,62591.0,69.0,679.0,95.0,32.0,5.0
44043.0,47079.0,80.0,288.0,97.0,33.0,25.0
53283.0,42349.0,87.0,578.0,97.0,32.0,13.01
45127.0,49365.0,60.0,332.0,98.0,31.0,25.0
53935.0,37627.0,73.0,398.0,95.0,31.0,25.0
55793.0,47540.0,78.0,-227.0,98.0,33.0,25.0
45897.0,48080.0,74.0,918.0,98.0,32.0,5.0
54817.0,51973.0,50.0,610.0,96.0,32.0,5.44
52064.0,52868.0,80.0,347.0,96.0,33.0,25.0
54110.0,45482.0,90.0,275.0,97.0,32.0,25.0
59484.0,47247.0,76.0,401.0,95.0,33.0,25.0
48773.0,44169.0,65.0,643.0,97.0,33.0,5.0
46231.0,42360.0,70.0,122.0,97.0,32.0,25.0
45552.0,49549.0,93.0,472.0,98.0,33.0,25.0
45921.0,41632.0,84.0,854.0,101.0,33.0,5.0
49614.0,45927.0,81.0,273.0,97.0,32.0,25.0
51706.0,43024.0,79.0,516.0,99.0,32.0,21.95
51383.0,50748.0,68.0,941.0,97.0,32.0,5.0
54136.0,57007.0,73.0,626.0,97.0,31.0,7.02
50065.0,41492.0,74.0,525.0,97.0,33.0,16.5
57268.0,38735.0,80.0,601.0,97.0,32.0,16.75
48677.0,47376.0,90.0,420.0,98.0,33.0,25.0
63601.0,48078.0,86.0,760.0,95.0,32.0,5.0
53128.0,49093.0,61.0,420.0,94.0,33.0,25.0
45714.0,45768.0,77.0,108.0,98.0,33.0,25.0
44646.0,46997.0,82.0,422.0,99.0,32.0,25.0
52412.0,49838.0,81.0,307.0,98.0,33.0,25.0
48883.0,53202.0,69.0,444.0,97.0,33.0,25.0
53570.0,38225.0,104.0,448.0,99.0,32.0,25.0
52366.0,46155.0,62.0,739.0,98.0,32.0,5.0
49636.0,49069.0,64.0,639.0,99.0,33.0,5.0
45766.0,43410.0,77.0,553.0,95.0,33.0,6.15
42426.0,56656.0,96.0,499.0,95.0,33.0,25.0
47767.0,44823.0,67.0,288.0,96.0,32.0,25.0
54282.0,47794.0,72.0,64.0,97.0,32.0,25.0
51070.0,50780.0,86.0,523.0,97.0,32.0,22.45
43771.0,45044.0,75.0,659.0,93.0,33.0,5.0
50866.0,38767.0,72.0,478.0,100.0,32.0,23.29
51927.0,45857.0,81.0,393.0,96.0,32.0,25.0
45581.0,53147.0,78.0,593.0,97.0,32.0,5.47
50769.0,46316.0,85.0,483.0,99.0,32.0,25.0
50291.0,43768.0,88.0,837.0,92.0,32.0,5.0
44285.0,52628.0,78.0,747.0,96.0,32.0,5.0
51789.0,46346.0,78.0,692.0,96.0,32.0,5.0
52804.0,45449.0,77.0,652.0,96.0,32.0,5.0
55415.0,48747.0,80.0,242.0,97.0,32.0,25.0
55269.0,51854.0,76.0,633.0,100.0,32.0,5.77
43112.0,59909.0,75.0,575.0,98.0,33.0,15.13
45311.0,52136.0,87.0,621.0,99.0,32.0,9.75
52575.0,53799.0,90.0,599.0,97.0,33.0,17.12
52569.0,45470.0,60.0,591.0,94.0,32.0,6.84
52575.0,42871.0,75.0,1040.0,93.0,32.0,5.0
69264.0,48312.0,68.0,485.0,94.0,33.0,25.0
52854.0,48536.0,72.0,687.0,98.0,33.0,5.0
55678.0,42607.0,79.0,406.0,97.0,32.0,25.0
54770.0,47124.0,82.0,658.0,97.0,32.0,5.0
53257.0,49997.0,74.0,688.0,96.0,32.0,5.0
48424.0,49802.0,56.0,573.0,101.0,33.0,10.73
53795.0,50521.0,65.0,834.0,95.0,33.0,5.0
46136.0,49455.0,84.0,323.0,99.0,33.0,25.0
48816.0,45465.0,48.0,403.0,97.0,32.0,25.0
47573.0,45430.0,87.0,542.0,97.0,32.0,17.12
50409.0,42005.0,80.0,676.0,99.0,32.0,5.0
61573.0,56924.0,88.0,536.0,100.0,32.0,25.0
40664.0,48067.0,73.0,757.0,97.0,33.0,5.0
53431.0,46876.0,54.0,368.0,99.0,33.0,25.0
41936.0,43356.0,79.0,272.0,98.0,34.0,25.0
47640.0,62678.0,88.0,562.0,97.0,32.0,11.04
55445.0,42633.0,84.0,485.0,97.0,33.0,25.0
50321.0,45856.0,68.0,609.0,96.0,33.0,5.0
44611.0,50079.0,76.0,495.0,96.0,32.0,25.0
46423.0,51001.0,70.0,432.0,96.0,32.0,25.0
53398.0,52790.0,67.0,485.0,99.0,32.0,25.0
46348.0,57038.0,85.0,506.0,97.0,33.0,25.0
51082.0,50531.0,63.0,439.0,94.0,32.0,25.0
50228.0,42720.0,66.0,459.0,96.0,32.0,25.0
46742.0,46715.0,64.0,419.0,91.0,33.0,20.36
60720.0,49539.0,60.0,671.0,96.0,33.0,5.0
53170.0,58341.0,76.0,539.0,97.0,33.0,21.52
39874.0,41011.0,87.0,951.0,97.0,32.0,5.0
50932.0,54013.0,73.0,532.0,101.0,33.0,19.44
46691.0,48900.0,60.0,390.0,98.0,32.0,25.0
54262.0,52189.0,83.0,1034.0,98.0,33.0,5.0
46037.0,47490.0,92.0,583.0,94.0,33.0,7.79
49426.0,43788.0,69.0,698.0,96.0,33.0,5.0
52525.0,51754.0,70.0,618.0,96.0,32.0,5.0
54329.0,51272.0,80.0,625.0,95.0,33.0,11.11
43999.0,52860.0,91.0,607.0,95.0,33.0,11.77
48327.0,47933.0,70.0,280.0,93.0,32.0,25.0
47625.0,45001.0,62.0,574.0,94.0,32.0,5.0
46733.0,40206.0,81.0,235.0,99.0,33.0,25.0
58827.0,52097.0,83.0,465.0,97.0,32.0,25.0
52025.0,50119.0,75.0,355.0,96.0,32.0,25.0
43696.0,43171.0,69.0,571.0,97.0,33.0,5.0
54589.0,45307.0,85.0,567.0,99.0,33.0,18.53
60611.0,45666.0,80.0,596.0,97.0,32.0,9.99
55162.0,40585.0,67.0,557.0,98.0,33.0,17.04
42403.0,43912.0,75.0,379.0,95.0,33.0,25.0
47579.0,42331.0,61.0,448.0,96.0,33.0,22.42
56335.0,45938.0,82.0,684.0,98.0,31.0,5.0
46462.0,44307.0,72.0,714.0,101.0,33.0,5.0
52219.0,39865.0,71.0,271.0,100.0,33.0,25.0
53873.0,58113.0,75.0,194.0,98.0,33.0,25.0
45365.0,54263.0,75.0,355.0,97.0,32.0,25.0
49702.0,44105.0,84.0,709.0,100.0,33.0,5.0
33794.0,49362.0,81.0,743.0,99.0,33.0,5.0
44878.0,50087.0,73.0,315.0,92.0,31.0,25.0
48737.0,53955.0,83.0,561.0,95.0,33.0,21.74
43761.0,43907.0,79.0,867.0,98.0,33.0,5.0
58162.0,53461.0,71.0,583.0,93.0,32.0,12.56
42849.0,45260.0,74.0,784.0,95.0,32.0,5.0
47800.0,41321.0,74.0,700.0,96.0,33.0,5.0
50654.0,51621.0,80.0,318.0,96.0,32.0,25.0
57206.0,54454.0,71.0,462.0,96.0,32.0,25.0
42821.0,60940.0,71.0,507.0,96.0,33.0,22.89
55816.0,42001.0,95.0,521.0,99.0,33.0,25.0
50051.0,51495.0,84.0,683.0,96.0,33.0,5.0
45092.0,45951.0,67.0,582.0,96.0,33.0,5.26
52311.0,51917.0,81.0,-87.0,94.0,32.0,25.0
50995.0,40648.0,76.0,237.0,99.0,32.0,25.0
46999.0,41686.0,79.0,63.0,96.0,33.0,25.0
50349.0,44121.0,76.0,535.0,95.0,32.0,13.56
48073.0,48395.0,87.0,548.0,97.0,33.0,18.62
50568.0,44795.0,78.0,557.0,95.0,32.0,12.51
53311.0,51295.0,74.0,308.0,96.0,32.0,25.0
57930.0,53134.0,85.0,635.0,98.0,33.0,13.96
43811.0,50998.0,77.0,643.0,96.0,32.0,5.0
60665.0,56094.0,76.0,249.0,102.0,32.0,25.0
40240.0,50079.0,78.0,207.0,97.0,33.0,25.0
49241.0,41916.0,74.0,500.0,98.0,32.0,17.06
52942.0,54817.0,75.0,858.0,93.0,33.0,5.0
51405.0,44974.0,69.0,840.0,95.0,33.0,5.0
46887.0,52552.0,67.0,613.0,95.0,32.0,5.0
48959.0,55869.0,65.0,354.0,95.0,32.0,25.0
47535.0,50283.0,61.0,677.0,98.0,32.0,5.0
47053.0,40519.0,66.0,410.0,99.0,32.0,25.0
54248.0,43409.0,73.0,346.0,98.0,33.0,25.0
51785.0,54614.0,76.0,71.0,97.0,32.0,25.0
46535.0,47154.0,72.0,520.0,96.0,33.0,17.36
54498.0,48398.0,51.0,374.0,99.0,33.0,25.0
51536.0,51794.0,91.0,519.0,101.0,33.0,25.0
54064.0,51482.0,86.0,40.0,97.0,33.0,25.0
53148.0,49394.0,79.0,534.0,99.0,33.0,17.32
45855.0,46957.0,94.0,14.0,98.0,32.0,25.0
47199.0,46437.0,65.0,718.0,99.0,33.0,5.0
53736.0,52289.0,94.0,604.0,95.0,32.0,21.99
53052.0,50768.0,65.0,444.0,96.0,33.0,25.0
49895.0,46713.0,77.0,613.0,98.0,32.0,5.0
50587.0,53411.0,62.0,304.0,99.0,32.0,25.0
56388.0,47355.0,75.0,514.0,95.0,33.0,24.38
47042.0,43742.0,79.0,659.0,93.0,32.0,5.0
52735.0,44205.0,73.0,-119.0,96.0,32.0,25.0
48989.0,43106.0,82.0,411.0,99.0,32.0,25.0
48912.0,46638.0,76.0,495.0,94.0,32.0,19.0
55494.0,54169.0,70.0,461.0,95.0,33.0,25.0
54127.0,43975.0,69.0,791.0,97.0,33.0,5.0
54068.0,48942.0,83.0,275.0,97.0,32.0,25.0
56527.0,44717.0,68.0,376.0,98.0,33.0,25.0
50105.0,46698.0,84.0,117.0,95.0,32.0,25.0
53410.0,40450.0,87.0,802.0,96.0,32.0,5.0
48449.0,46897.0,58.0,451.0,99.0,32.0,25.0
51621.0,47031.0,86.0,412.0,95.0,33.0,25.0
49349.0,50701.0,96.0,490.0,100.0,33.0,25.0
50485.0,49116.0,78.0,627.0,95.0,32.0,5.0
52976.0,42008.0,81.0,569.0,99.0,32.0,17.92
45909.0,53421.0,85.0,1030.0,96.0,33.0,5.0
60462.0,49052.0,72.0,591.0,95.0,32.0,15.21
44970.0,48992.0,77.0,407.0,96.0,33.0,25.0
43929.0,47954.0,62.0,388.0,98.0,32.0,25.0
55791.0,45411.0,76.0,421.0,97.0,32.0,25.0
53958.0,49089.0,80.0,200.0,99.0,33.0,25.0
53121.0,50378.0,80.0,508.0,100.0,32.0,24.61
53142.0,39266.0,86.0,657.0,95.0,32.0,5.0
49939.0,45306.0,67.0,377.0,94.0,33.0,25.0
45514.0,46725.0,70.0,339.0,94.0,33.0,25.0
50379.0,49281.0,94.0,803.0,95.0,32.0,5.0
46614.0,53967.0,73.0,215.0,99.0,33.0,25.0
54876.0,44141.0,77.0,86.0,98.0,33.0,25.0
49265.0,45510.0,74.0,269.0,96.0,33.0,25.0
45873.0,45437.0,67.0,192.0,97.0,33.0,25.0
48393.0,43992.0,91.0,577.0,100.0,33.0,16.34
52065.0,46264.0,70.0,428.0,101.0,33.0,25.0
47181.0,51854.0,64.0,456.0,98.0,34.0,25.0
45889.0,42731.0,70.0,731.0,92.0,32.0,5.0
51218.0,50139.0,55.0,362.0,98.0,32.0,25.0
51225.0,39490.0,68.0,655.0,99.0,32.0,5.0
47465.0,45193.0,65.0,802.0,97.0,32.0,5.0
47645.0,46353.0,81.0,409.0,98.0,33.0,25.0
51160.0,56374.0,68.0,647.0,98.0,33.0,5.0
42760.0,46626.0,84.0,452.0,95.0,32.0,25.0
42963.0,36994.0,89.0,685.0,95.0,33.0,5.0
46408.0,38006.0,83.0,186.0,96.0,32.0,25.0
48933.0,48170.0,73.0,171.0,99.0,32.0,25.0
51555.0,51069.0,76.0,422.0,95.0,33.0,25.0
57377.0,49877.0,60.0,322.0,98.0,32.0,25.0
54288.0,48838.0,74.0,397.0,98.0,32.0,25.0
49200.0,53811.0,66.0,456.0,100.0,33.0,25.0
49905.0,45302.0,82.0,644.0,97.0,32.0,5.0
44987.0,52475.0,101.0,418.0,93.0,32.0,25.0
49907.0,39840.0,80.0,335.0,98.0,31.0,25.0
48557.0,43475.0,55.0,430.0,101.0,32.0,25.0
51614.0,38965.0,71.0,346.0,98.0,32.0,25.0
45864.0,46626.0,76.0,313.0,95.0,32.0,25.0
52597.0,47769.0,76.0,177.0,95.0,33.0,25.0
57664.0,48571.0,68.0,514.0,95.0,32.0,24.43
49456.0,48309.0,77.0,386.0,101.0,32.0,25.0
52009.0,43362.0,63.0,693.0,96.0,32.0,5.0
53451.0,47049.0,66.0,211.0,96.0,32.0,25.0
47994.0,40513.0,81.0,392.0,97.0,33.0,25.0
51120.0,54816.0,65.0,863.0,96.0,32.0,5.0
50063.0,46482.0,80.0,312.0,100.0,32.0,25.0
50488.0,45556.0,61.0,453.0,95.0,32.0,25.0
46135.0,55945.0,93.0,257.0,99.0,32.0,25.0
50123.0,41789.0,67.0,230.0,97.0,32.0,25.0
52490.0,42372.0,73.0,809.0,99.0,32.0,5.0
57256.0,42519.0,78.0,534.0,100.0,32.0,24.83
54796.0,47661.0,69.0,527.0,97.0,33.0,16.63
60766.0,50158.0,76.0,161.0,96.0,32.0,25.0
46163.0,51698.0,81.0,572.0,97.0,33.0,15.36
54362.0,60860.0,85.0,731.0,97.0,33.0,5.0
50917.0,36753.0,83.0,730.0,94.0,33.0,5.0
60949.0,51044.0,73.0,634.0,100.0,33.0,8.43
45959.0,45214.0,74.0,274.0,97.0,32.0,25.0
45801.0,45068.0,98.0,563.0,95.0,32.0,16.34
47003.0,44901.0,84.0,634.0,93.0,33.0,5.0
39381.0,43456.0,66.0,141.0,92.0,33.0,25.0
47371.0,56423.0,76.0,276.0,99.0,32.0,25.0
46204.0,52211.0,72.0,678.0,96.0,33.0,5.0
50752.0,48116.0,74.0,675.0,96.0,32.0,5.0
51709.0,54755.0,63.0,190.0,98.0,33.0,25.0
59381.0,40437.0,71.0,659.0,96.0,32.0,5.0
54752.0,41346.0,93.0,519.0,98.0,32.0,22.16
47115.0,37110.0,81.0,656.0,97.0,32.0,5.0
45508.0,44503.0,50.0,373.0,97.0,34.0,25.0
52460.0,48808.0,87.0,629.0,94.0,33.0,6.94
43399.0,48514.0,86.0,669.0,95.0,34.0,5.0
59157.0,48747.0,71.0,430.0,98.0,32.0,25.0
55897.0,40945.0,82.0,504.0,96.0,33.0,24.64
47654.0,52016.0,66.0,370.0,99.0,31.0,25.0
41434.0,49198.0,70.0,830.0,102.0,32.0,5.0
56769.0,51665.0,90.0,476.0,98.0,33.0,25.0
49427.0,38536.0,72.0,316.0,100.0,33.0,25.0
56189.0,49557.0,56.0,357.0,98.0,32.0,25.0
42028.0,42061.0,74.0,525.0,96.0,33.0,14.57
47003.0,46013.0,74.0,651.0,97.0,32.0,5.0
50026.0,50672.0,87.0,233.0,101.0,32.0,25.0
50235.0,48455.0,75.0,870.0,96.0,32.0,5.0
47750.0,43742.0,71.0,562.0,95.0,32.0,6.88
53114.0,48031.0,85.0,593.0,95.0,33.0,15.57
44662.0,40342.0,76.0,481.0,97.0,33.0,20.84
49288.0,53751.0,67.0,504.0,95.0,33.0,16.51
50601.0,46974.0,87.0,470.0,100.0,33.0,25.0
52572.0,53593.0,77.0,704.0,97.0,32.0,5.0
53558.0,45367.0,75.0,498.0,99.0,33.0,22.51
44377.0,45382.0,77.0,653.0,96.0,33.0,5.0
42329.0,44179.0,64.0,413.0,95.0,32.0,25.0
56388.0,52381.0,70.0,539.0,94.0,33.0,22.68
51662.0,44453.0,75.0,339.0,95.0,32.0,25.0
46258.0,51223.0,73.0,743.0,98.0,33.0,5.0
57756.0,46088.0,88.0,333.0,98.0,33.0,25.0
50578.0,38120.0,77.0,435.0,98.0,32.0,25.0
55896.0,45148.0,84.0,437.0,94.0,33.0,25.0
50338.0,42104.0,75.0,429.0,97.0,32.0,25.0
60304.0,48170.0,86.0,644.0,95.0,32.0,5.0
58777.0,42048.0,79.0,437.0,98.0,32.0,25.0
48755.0,52630.0,75.0,779.0,98.0,34.0,5.0
54858.0,47545.0,75.0,336.0,95.0,32.0,25.0
53227.0,47112.0,65.0,534.0,99.0,32.0,12.02
56843.0,51279.0,80.0,345.0,102.0,32.0,25.0
45175.0,52820.0,75.0,584.0,99.0,33.0,17.95
53430.0,47900.0,70.0,497.0,97.0,32.0,24.37
55292.0,44144.0,86.0,469.0,96.0,32.0,25.0
41206.0,39130.0,62.0,738.0,97.0,33.0,5.0
44084.0,44570.0,71.0,369.0,95.0,32.0,25.0
39804.0,44914.0,85.0,617.0,98.0,33.0,5.0
48653.0,48535.0,78.0,346.0,95.0,33.0,25.0
53588.0,46274.0,75.0,523.0,93.0,32.0,18.53
57512.0,51440.0,78.0,261.0,97.0,32.0,25.0
50370.0,44935.0,77.0,367.0,97.0,33.0,25.0
58143.0,47715.0,60.0,484.0,96.0,33.0,25.0
43099.0,53920.0,72.0,863.0,94.0,32.0,5.0
41483.0,49709.0,91.0,520.0,98.0,31.0,25.0
49722.0,47700.0,68.0,831.0,95.0,33.0,5.0
51920.0,44990.0,72.0,544.0,97.0,33.0,11.0
49837.0,44834.0,70.0,423.0,101.0,33.0,24.82
39663.0,43747.0,74.0,808.0,98.0,33.0,5.0
49554.0,45295.0,69.0,587.0,94.0,32.0,7.5
43478.0,51778.0,80.0,371.0,94.0,33.0,25.0
53348.0,46891.0,77.0,594.0,97.0,33.0,9.95
51833.0,41251.0,83.0,441.0,94.0,33.0,25.0
45301.0,56841.0,64.0,102.0,93.0,34.0,25.0
47431.0,49600.0,72.0,687.0,98.0,32.0,5.0
44704.0,40965.0,73.0,719.0,98.0,33.0,5.0
49687.0,45791.0,80.0,868.0,98.0,32.0,5.0
54776.0,48554.0,67.0,584.0,98.0,33.0,14.4
45071.0,56523.0,84.0,450.0,97.0,32.0,25.0
52520.0,42459.0,87.0,667.0,96.0,32.0,5.0
47349.0,52880.0,65.0,670.0,98.0,32.0,5.0
46036.0,54997.0,70.0,828.0,100.0,33.0,5.0
49465.0,44857.0,70.0,491.0,96.0,32.0,17.9
44824.0,46612.0,101.0,467.0,95.0,32.0,25.0
47232.0,42818.0,71.0,357.0,95.0,32.0,25.0
44011.0,46983.0,92.0,607.0,95.0,32.0,7.33
59824.0,47817.0,62.0,190.0,97.0,33.0,25.0
50176.0,51298.0,65.0,655.0,93.0,33.0,5.0
46501.0,53451.0,68.0,618.0,98.0,32.0,5.0
51070.0,44260.0,67.0,617.0,98.0,34.0,5.0
